ID,SOCIAL_dprime,MONETARY_dprime,SOCIAL_dprime_mine,MONETARY_dprime_mine,SOCIAL_bias_c,MONETARY_bias_c,SOCIAL_TrueMem,SOCIAL_FalseMem,SOCIAL_TotalTrials,MONETARY_TrueMem,MONETARY_FalseMem,MONETARY_TotalTrials
s1476,0.173141855563359,0.228997012888613,0.24473445651305162,0.17886995273582934,-0.21200957933228837,0.20628772308424667,26.0,22.0,82.0,19.0,16.0,84.0
s1595,0.061183224940666,0.361764774666418,0.0,0.3617647746664182,-0.0,0.23920912260620214,20.0,20.0,80.0,20.0,14.0,84.0
s1630,0.167791778907089,0.157310684610171,0.16779177890708863,0.06058277849247866,-0.8529512189048243,-0.0756074051756121,35.0,33.0,84.0,22.0,21.0,81.0
s169,0.24881930407957,0.470657742139034,0.17886995273582948,0.470657742139034,-0.2062877230842466,-6.938893903907228e-17,26.0,23.0,84.0,25.0,17.0,84.0
s1694,,,,,,,,,,,,
s1694,,,,,,,,,,,,
s172,0.0,0.349346537964441,0.0,0.29888909936159164,0.17578212101566826,0.20777128495378885,18.0,18.0,84.0,20.0,15.0,84.0
s1745,-0.0243937057215534,0.190215223912565,-0.17734481378033565,-0.14848705764374204,-0.04442335473597543,-0.694811800629409,20.0,23.0,83.0,31.0,33.0,84.0
s191,-0.570204552123628,0.281799170959072,-0.8039074066361738,0.30022614844382645,0.20908120468631972,0.691508159351001,11.0,24.0,83.0,12.0,8.0,83.0
s243,0.0284669400372114,0.295722699452161,0.06058277849247866,0.29572269945216134,-0.0756074051756121,0.14786134972608067,22.0,21.0,81.0,21.0,16.0,84.0
s313,0.818793286694756,0.0780181864593462,0.6912256974381642,0.0,-0.3013637965648897,0.19758024286313683,31.0,20.0,83.0,17.0,17.0,81.0
s331,-0.178250277610936,0.235328871069517,-0.23410885628866143,0.23532887106951692,0.05872769287133754,0.11766443553475846,18.0,22.0,84.0,21.0,17.0,84.0
s333,0.05326464101823,0.0,0.0,0.0,0.116852746716332,-0.058326735272993174,19.0,19.0,84.0,22.0,22.0,84.0
s35,0.172740922138301,-0.154591335230352,-0.37848109308384215,-0.6016895314043782,-0.608536299583317,-0.45060677814681604,26.0,31.0,78.0,23.0,32.0,82.0
s4074,-0.0642045089353825,0.571550776830714,-0.11745538574267522,0.559389724821435,0.11705442814433065,1.5284225076464537,18.0,20.0,84.0,4.0,1.0,83.0
